"Date","Data inserimento"
"Action","Storico movimenti"
"Balance","Valore"
"Balance History", "Storico dei crediti"
"Balance Change","Totale credito"
"Updated","Credito erogato"
"Created","Credito erogato"
"Additional information","Informazioni aggiuntive"
"Customer notified?","Notifica a consumatore?"
"Store Credit Balance","Crediti"
"Send Email Notification From the Following Store View","Invia notifica email dal seguente negozio"
"Update Balance","Aggiungi credito"
"Used","Acquisto effettuato"
"Reverted","Annullato"
