"%s was added to your shopping cart.","%s è stato aggiunto al tuo carrello."
"%s was updated in your shopping cart.","%s è stato aggiornato nel tuo carrello."
"* Required Fields","* Campi obbligatori"
"Add New Address","Aggiungi nuovo indirizzo"
"Add New Condition","Aggiungi nuova condizione"
"Add coupon code for shopping cart","Aggiungi buono sconto per il carrello."
"Add product to shopping cart","Aggiungi prodotto al carrello"
"Add product(s) to shopping cart","Aggiungi prodotto/i al carrello"
"Add to Cart","Aggiungi al carrello"
"Add to Compare","Confronta"
"Add to Wishlist","Aggiungi alla Wishlist"
"Additional Product Info","Info aggiuntive prodotto"
"Address","Indirizzo"
"Address %s of %s","Indirizzo %s di %s"
"After Adding a Product Redirect to Shopping Cart","Dopo aver aggiunto un prodotto reindirizzamento al carrello"
"Allow Guest Checkout","Permetti Checkout ospiti"
"Already registered?","Già registrato?"
"An error occurred in the process of payment","Si è verificato un errore nel processo di pagamento"
"An error occurred while deleting this condition.","Si è verificato un errore durante la cancellazione di questa condizione."
"An error occurred while saving this condition.","Si è verificato un errore durante il salvataggio di questa condizione."
"Apply Coupon","Applica Coupon"
"Are you sure you would like to remove this item from the shopping cart?","Sei sicuro di voler rimuovere questo articolo dal carrello?"
"Are you sure you would like to erase all item from the shopping cart?", "Sei sicuro di voler eliminare tutti gli elementi all'interno del carrello?"
"Back","Indietro"
"Back to Billing Information","Torna alle informazioni di fatturazione"
"Back to Select Addresses","Torna agli indirizzi selezionati"
"Back to Shipping Information","Torna alle informazioni di spedizione"
"Back to Shopping Cart","Torna al carrello"
"Based on your selection, you may be interested in the following items:","Sulla base della tua scelta, potresti essere interessato ai seguenti articoli:"
"Billing Address","Indirizzo di fatturazione"
"Billing Information","Informazioni fatturazione"
"Billing Information - %s","Informazioni di fatturazione - %s"
"Cancel Coupon","Cancella Coupon"
"Cannot add item to the shopping cart.","Impossibile aggiungere l\'articolo al carrello."
"Cannot add more then one product at once to cart.","Impossibile aggiungere più di un prodotto alla volta nel carrello."
"Cannot add products without bundle.","Impossibile aggiungere prodotti al carrello senza un'offerta selezionata."
"Cannot add the item to shopping cart","Impossibile aggiungere l\'articolo al carrello."
"Cannot add the item to shopping cart.","Impossibile aggiungere l\'articolo al carrello."
"Cannot add more then 1 option to cart.","Impossibile aggiungere due opzioni al carrello."
"Cannot add two accessories to cart.","Impossibile aggiungere due accessori al carrello."
"Cannot add two bundle to cart.","Impossibile aggiungere due offerte al carrello."
"Cannot apply the coupon code.","Impossibile applicare il codice del coupon."
"Cannot configure product.","Impossibile configurare il prodotto."
"Cannot open the overview page","Impossibile aprire la pagina di riepilogo"
"Cannot process the item.","Impossibile elaborare l\'articolo."
"Cannot remove the item.","Impossibile rimuovere l\'articolo."
"Cannot update shopping cart.","Impossibile aggiornare il carrello."
"Cannot update the item.","Impossibile aggiornare l\'articolo."
"Card Verification Number Visual Reference","Numero di verifica carta riferimento visivo"
"Cart Product Api","Api carrello prodotto"
"Cart Subtotal:","Subtotale carrello:"
"Change","Modifica"
"Change Billing Address","Cambia indirizzo di fatturazione"
"Checkbox Text","Checkbox Text"
"Checkout","Checkout"
"Checkout Conditions","Condizioni Checkout"
"Checkout Method","Metodo di Checkout"
"Checkout Options","Opzioni di Checkout"
"Checkout Progress Wrapper","Progresso wrapper Checkout"
"Checkout Section","Sezione di Checkout"
"Checkout Terms and Conditions","Termini e condizioni di Checkout"
"Checkout as Guest","Checkout come ospite"
"Checkout as a Guest or Register","Checkout come ospite o registrati"
"Checkout with Multiple Addresses","Checkout con indirizzi multipli"
"City","Città"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Clicca <a href=""%s"" onclick=""this.target=\'_blank\'"">qui per stampare</a> una copia della conferma dell\'ordine."
"Click <a href=""%s"">here</a> to continue shopping.","Clicca <a href=""%s"">qui</a> per continuare l&#39;acquisto."
"Close","Chiuso"
"Company","Società"
"Condition Name","Nome condizione"
"Configurable Product Image","Immagine prodotto configurabile"
"Configure Cart Item","Configura carrello articolo"
"Confirm Password","Conferma Password"
"Content","Contenuto"
"Content Height","Altezza contenuto"
"Content Height (css)","Altezza contenuto (css)"
"Continue","Continua"
"Continue Shopping","Continua l\'acquisto"
"Continue to Billing Information","Continua verso le informazioni di fatturazione"
"Continue to Review Your Order","Continua per rivedere il tuo ordine"
"Continue to Shipping Information","Continua verso le informazioni di spedizione"
"Country","Paese"
"Coupon code ""%s"" is not valid.","Il buono sconto ""%s"" non è valido."
"Coupon code ""%s"" was applied.","Il buono sconto ""%s"" è stato applicato."
"Coupon code was canceled.","Il buono sconto è stato cancellato."
"Create Billing Address","Crea indirizzo di fatturazione"
"Create Shipping Address","Crea indirizzo di spedizione"
"Create an order from shopping cart","Crea un ordine dal carrello"
"Create shopping cart","Crea carrello"
"Customer Information","Informazioni cliente"
"Customer's information","Informazioni del cliente"
"Data saving problem","Problema salvataggio dati"
"Default Billing","Fatturazione predefinita"
"Default Shipping","Spedizione predefinita"
"Delete Condition","Cancella condizione"
"Details","Dettagli"
"Disabled","Disabilitato"
"Discount Codes","Codici sconto"
"Display Cart Summary","Visualizza riepilogo carrello"
"Display Shopping Cart Sidebar","Visualizza Sidebar carrello"
"Display item quantities","Visualizza quantità articolo"
"Display number of items in cart","Visualizza il numero degli articoli nel carrello"
"Display number of items in wishlist","Visualizza il numero degli articoli nella wishlist"
"Easy access to your order history and status","Facile accesso alla cronologia ordini e allo stato"
"Edit","Modifica"
"Edit Address","Modifica indirizzo"
"Edit Billing Address","Modifica indirizzo di fatturazione"
"Edit Items","Modifica articoli"
"Edit Shipping Address","Modifica indirizzo di spedizione"
"Edit Terms and Conditions","Modifica termini e condizioni"
"Edit Your Cart","Modifica il tuo carrello"
"Edit item","Modifica articolo"
"Edit item parameters","Modifica parametri articolo"
"Email Address","Indirizzo email"
"Enable Onepage Checkout","Abilita Onepage Checkout"
"Enable Terms and Conditions","Abilita termini e condizioni"
"Enabled","Abilitato"
"Enter a New Address","Inserisci un nuovo indirizzo"
"Enter your coupon code if you have one.","Inserisci il tuo buono sconto se ne hai uno."
"Enter your destination to get a shipping estimate.","Inserisci la destinazione per avere una stima di spedizione."
"Estimate Shipping and Tax","Stima spedizione e tasse"
"Excl. Tax","Escl. Tasse"
"Fast and easy check out","Check out facile e veloce"
"Fax","Fax"
"Forgot an Item?","Hai dimenticato un articolo?"
"Forgot your password?","Hai dimenticato la password?"
"Get a Quote","Ottieni un preventivo"
"Get list of available payment methods","Ottieni una lista dei metodi di pagamento disponibili"
"Get list of available shipping methods","Ottieni una lista dei metodi di spedizione disponibili"
"Get list of products in shopping cart","Ottieni una lista dei prodotti nel carrello"
"Get terms and conditions","Ottieni termini e condizioni"
"Get total prices for shopping cart","Ottieni totale prezzi per il carrello"
"Grand Total:","Totale complessivo:"
"Grouped Product Image","Immagini prodotto raggruppate"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Tasse"
"Invalid method: %s","Metodo non valido: %s"
"Item not found or already ordered","Articolo non trovato o già ordinato"
"Items","Articoli"
"Items After","Articoli seguenti"
"Items Before","Articoli precedenti"
"Load customer quote error","Caricamento cliente errore menzionato"
"Loading next step...","Caricamento dati in corso"
"Login","Accedi"
"Login/Registration Before","Accedi/Registrati prima"
