" "," "
" But cart has some errors.","Il carrello ha alcuni errori."
"""Title"" is more than %d characters long","""Title"" ha più di %d caratteri"
"%1$s has been added to your wishlist.","%1$s è stato aggiunto alla Wishlist."
"%1$s incl tax.","%1$s tasse incluse."
"%s has been added to your cart.","%s è stato aggiunto al carrello."
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Il solo catalogo applicazione non sopporta funzioni come aggiungi al carrello, wishlist o accedi."
"A new password has been sent.","Una nuova password è stata inviata"
"Account","Account"
"Account confirmation is required. Please check your email for the confirmation link. ","È richiesta la conferma dell\'account. Controlla la tua email per il link di conferma."
"Account information has been saved.","Le informazioni dell\'account sono state salvate."
"Action","Azione"
"Activate","Attiva"
"Activate PayPal Checkout","Attiva pagamento PayPal"
"Activation Key","Codice di attivazione"
"Add App","Aggiungi applicazione"
"Add More Templates","Aggiungi altri Templates"
"Add New Template","Aggiungi nuovo Template"
"Add Page","Aggiungi pagina"
"Add to Cart","Aggiungi al carrello"
"Add to Wishlist","Aggiungi alla Wishlist"
"Additional Address","Indirizzi aggiuntivi"
"Additional Countries","Paesi aggiuntivi"
"Address","Indirizzo"
"Address 2","Indirizzo 2"
"Address data not specified.","Campo Indirizzo non specificato."
"Address does not belong to this customer.","L\'indirizzo non appartiene a questo cliente."
"Address has been deleted.","L\'indirizzo è stato cancellato."
"Address has been saved.","L\'indirizzo è stato salvato."
"Administrative contact for this app and for app submission issues.","Contatto amministrativo per questa applicazione e per presentazione applicazione."
"Advanced Settings","Impostazioni avanzate."
"After submitting the App, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.<br />Upon receiving these credentials, please fill in the corresponding fields.<br />In addition, please accept Urban Airship\'s Terms of Service: <a href=""%2$s"" target=""_blank"">click here</a>.","Prima di inviare applicazione contatta <a href=""mailto:%1$s"">%1$s</a> per ricevere il codice applicazione, Application Secret and Application Master Secret.<br />Dopo aver ricevuto queste credenziali si prega di compilare i campi corrispondenti.<br />Inoltre, deve accettare i termini di servizio dell\'Urban Airship\'s: <a href=""%2$s"" target=""_blank"">clicca qui</a>."
"AirMail Message Queue","Messaggio AirMail in coda   "
"AirMail Messages Queue","Coda messaggi AirMail "
"AirMail Template Preview","AirMail Template anteprima"
"AirMail message","AirMail messaggi"
"AirMail templates","AirMail templates"
"An account with this email address already exists.","Esiste già un account con questa email."
"An error occurred while adding item to wishlist.","Errore riscontrato nell\'aggiunta dell\'oggetto alla wishlist."
"An error occurred while deleting the address.","Errore riscontrato nella rimozione dell\'indirizzo."
"An error occurred while loading category filters.","Errore riscontrato nel caricamento dei filtro categorie."
"An error occurred while processing your order. Please contact us or try again later.","Errore riscontrato nella presa in carico dell\'ordine. Contattaci o riprova più tardi."
"An error occurred while processing your request.","Errore riscontrato nella presa in carico della tua richiesta."
"An error occurred while removing item from wishlist.","Errore riscontrato nella rimozione dell\'oggetto dalla wishlist."
"An error occurred while removing items from wishlist.","Errore riscontrato nella rimozione degli oggetti dalla wishlist."
"Analytics","Analytics"
"Android","Android"
"App Background","Sfondo App "
"App Background (landscape mode)","Sfondo App (modalità paesaggio)"
"App Background (portrait mode)","Sfondo App (modalità ritratto)"
"App Code","Codice App"
"App Information","Informazioni App"
"App Name","Nome App"
"App Submission History","Presentazione Storia App"
"App Title","Titolo App"
"App code required.","Codice App richiesto."
"App does not exist.","App non esistente."
"App has been deleted.","App è stato cancellato."
"App has been saved.","App è stato salvato."
"App has been submitted.","App è stato inviato."
"App model not loaded.","Modello App non caricato"
"App with specified code does not exist.","App con il codice indicato non esiste"
